Mono RX,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Okos+ 1.50 TransXtract Polarized Grey ,35.57,36.57,39.57,41.57,41.57,41.57,x,x,45.57,,,,,,,,,,
Okos+ 1.60 TransXtract Polarized Grey ,50.46,51.46,54.46,56.46,56.46,56.46,x,x,60.46,,,,,,,,,,
Okos+ 1.67 TransXtract Polarized Grey ,68.21,69.21,72.21,74.21,74.21,74.21,x,x,78.21,,,,,,,,,,
Okos+ 1.50 NuPolar ,17.17,18.17,21.17,23.17,23.17,23.17,x,x,27.17,,,,,,,,,,
Okos+ 1.60 NuPolar ,34.81,35.81,38.81,40.81,40.81,40.81,x,x,44.81,,,,,,,,,,
Okos+ 1.67 NuPolar ,55.39,56.39,59.39,61.39,61.39,61.39,x,x,65.39,,,,,,,,,,
Okos+ 1.74 NuPolar ,64.26,65.26,68.26,70.26,70.26,70.26,x,x,74.26,,,,,,,,,,
Okos+ 1.50 NuPolar Gradient ,17.17,18.17,21.17,23.17,23.17,23.17,x,x,27.17,,,,,,,,,,
Okos+ 1.50 NuPolar Infinite Grey ,28.90,29.90,32.90,34.90,34.90,34.90,x,x,38.90,,,,,,,,,,
Okos+ 1.50 NuPolar Tinted Universe ,x,x,x,x,x,31.17,x,x,x,,,,,,,,,,
Okos+ 1.50 NuPolar Tinted Universe gradient,x,x,x,x,x,32.17,x,x,x,,,,,,,,,,
Okos+ 1.50 Polaro ,13.76,14.76,17.76,19.76,19.76,x,x,x,23.76,,,,,,,,,,
Okos+ 1.60 Polaro ,24.99,25.99,28.99,30.99,30.99,x,x,x,34.99,,,,,,,,,,
Okos+ 1.50 NuPolar MIRROR ,24.52,x,x,x,x,x,x,x,x,,,,,,,,,,
Bifo-Bifocal,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Bifo FT-28 1.50 ,7.35,8.35,11.35,13.35,13.35,13.35,12.35,x,17.35,,,,,,,,,,
Bifo FT-28 1.67 ,20.85,21.85,24.85,26.85,26.85,26.85,25.85,x,30.85,,,,,,,,,,
Bifo FT-28 1.56 Solis ,14.33,15.33,18.33,20.33,20.33,x,x,19.33,24.33,,,,,,,,,,
Bifo Digita/Bifo Round 1.50 ,9.19,10.19,13.19,15.19,15.19,15.19,14.19,x,19.19,,,,,,,,,,
Bifo Digita/Bifo Round 1.60 ,18.74,19.74,22.74,24.74,24.74,24.74,23.74,x,28.74,,,,,,,,,,
Bifo Digita/Bifo Round 1.67 ,34.18,35.18,38.18,40.18,40.18,40.18,39.18,x,44.18,,,,,,,,,,
Bifo Digita/Bifo Round 1.50 Solis ,16.00,17.00,20.00,22.00,22.00,22.00,x,21.00,26.00,,,,,,,,,,
Bifo Digita/Bifo Round 1.56 Solis ,14.80,15.80,18.80,20.80,20.80,20.80,x,19.80,24.80,,,,,,,,,,
Bifo Digita/Bifo Round 1.60 Solis ,23.99,24.99,27.99,29.99,29.99,29.99,x,28.99,33.99,,,,,,,,,,
Bifo Digita/Bifo Round 1.67 Solis ,33.90,34.90,37.90,39.90,39.90,39.90,x,38.90,43.90,,,,,,,,,,
Bifo Digita/Bifo Round 1.50 BLUE420 ,12.86,13.86,16.86,18.86,18.86,18.86,x,x,22.86,,,,,,,,,,
Bifo Digita/Bifo Round 1.60 BLUE420 ,22.49,23.49,26.49,28.49,28.49,28.49,x,x,32.49,,,,,,,,,,
No Tense + ,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
NoTense+  1.50 ,10.97,11.97,14.97,16.97,16.97,16.97,15.97,x,20.97,,,,,,,,,,
NoTense+  1.53 ,19.16,20.16,23.16,25.16,25.16,x,x,x,29.16,,,,,,,,,,
NoTense+  1.60 ,20.53,21.53,24.53,26.53,26.53,26.53,25.53,x,30.53,,,,,,,,,,
NoTense+  1.67 ,29.09,30.09,33.09,35.09,35.09,35.09,34.09,x,39.09,,,,,,,,,,
NoTense+  1.74 ,44.15,45.15,48.15,50.15,50.15,50.15,x,x,54.15,,,,,,,,,,
NoTense+  1.50 BLUE420 ,14.94,15.94,18.94,20.94,20.94,20.94,x,x,24.94,,,,,,,,,,
NoTense+  1.60 BLUE420 ,24.42,25.42,28.42,30.42,30.42,30.42,x,x,34.42,,,,,,,,,,
NoTense+  1.67 BLUE420 ,34.69,35.69,38.69,40.69,40.69,40.69,x,x,44.69,,,,,,,,,,
NoTense+ 1.50 Trans GEN S ,27.97,28.97,31.97,33.97,33.97,33.97,x,x,37.97,,,,,,,,,,
"NoTense+ 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",27.97,28.97,31.97,33.97,33.97,33.97,x,x,37.97,,,,,,,,,,
NoTense+ 1.53 Trans GEN S ,52.40,53.40,56.40,58.40,58.40,x,x,x,62.40,,,,,,,,,,
NoTense+ 1.60 Trans GEN S ,45.68,46.68,49.68,51.68,51.68,51.68,x,x,55.68,,,,,,,,,,
"NoTense+ 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",45.68,46.68,49.68,51.68,51.68,51.68,x,x,55.68,,,,,,,,,,
